,player_name,Season,Fastballs,velocity,spin_rate,pitch_percent,total_pitches,days_injured
2447,Sandy Baez,2018,30,94.8,2248,43.5,69,0
2448,Mike Zagurski,2018,30,93.6,2205,75,40,0
2449,Edward Paredes,2018,30,88.7,2176,23.6,127,0
2450,Alec Asher,2018,30,88.5,2308,81.1,37,0
2451,Oliver Perez,2018,29,91.4,2173,12.3,236,0
2452,JT Chargois,2018,29,95.2,2412,7.6,383,0
2453,Yonny Chirinos,2018,28,93.1,2255,5.1,554,0
2454,Pedro Florimon,2018,28,86,2164,87.5,32,0
2455,Cliff Pennington,2018,27,87.6,2067,93.1,29,0
2456,Mike Morin,2018,27,91.2,2048,41.5,65,0
2457,Evan Marshall,2018,27,93.5,2387,17.8,152,0
2458,Eric Stout,2018,27,91.1,2197,52.9,51,0
2459,Daniel Descalso,2018,27,76,1919,62.8,43,0
2460,Rhiner Cruz,2018,27,93.8,2312,48.2,56,0
2461,Joey Krehbiel,2018,26,95.5,2037,53.1,49,0
2462,Erik Kratz,2018,26,79.3,1961,81.3,32,0
2463,Jose Alvarado,2018,25,90.9,2166,3.5,707,0
2464,Parker Bridwell,2018,24,92.1,2367,66.7,36,0
2465,J.J. Hoover,2018,23,90.2,2375,56.1,41,0
2466,Jeffrey Springs,2018,23,91.3,2232,69.7,33,0
2467,P.J. Conlon,2018,23,87.6,2073,17,135,0
2468,Alexi Ogando,2018,22,93.5,2289,71,31,0
2469,Zach Duke,2018,21,86.9,2100,3.1,687,0
2470,Tommy La Stella,2018,21,75.8,1781,87.5,24,0
2471,Brandon Kintzler,2018,21,92.6,1999,3.2,649,0
2472,Thyago Vieira,2018,21,96.9,2113,95.5,22,0
2473,Jen-Ho Tseng,2018,21,90.7,2094,53.8,39,0
2474,Dillon Maples,2018,20,96.8,2772,23.5,85,0
2475,Miguel Diaz,2018,19,96.8,2432,55.9,34,0
2476,Chris Gimenez,2018,19,70.3,1728,100,19,0
2477,Diego Castillo,2018,19,96.4,2038,4.2,452,0
2478,Josh Ravin,2018,18,94.1,2429,34,53,0
2479,Andrew Romine,2018,18,84.5,1975,60,30,0
2480,Dennis Santana,2018,18,93.1,2439,25.7,70,0
2481,Kyle McGrath,2018,18,87.1,2042,27.3,66,0
2482,Scott Alexander,2018,17,92.4,2241,2.5,689,0
2483,William Cuevas,2018,15,90.9,2531,48.4,31,0
2484,Adam Kolarek,2018,15,91.5,2246,10.8,139,0
2485,Jerry Vasto,2018,15,91.2,2389,65.2,23,0
2486,Carlos Gomez,2018,15,88.6,2486,71.4,21,0
2487,Alec Mills,2018,15,91.5,2228,55.6,27,0
2488,John Curtiss,2018,14,94.8,2294,53.8,26,0
2489,Austin Adams,2018,14,94.8,2496,58.3,24,0
2490,Reymin Guduan,2018,13,94.9,2364,50,26,0
2491,Jonny Venters,2018,13,93.1,2224,5.5,237,0
2492,Robert Gsellman,2018,12,93.4,2137,1.3,941,0
2493,Zack Weiss,2018,12,93.8,2544,80,15,0
2494,Zach Neal,2018,12,89.4,2209,80,15,0
2495,Ian Krol,2018,11,92.4,2352,35.5,31,0
2496,Kevin McCarthy,2018,11,91.8,2057,1.7,638,0
2497,Rex Brothers,2018,11,96.6,2384,91.7,12,0
2498,Jesus Sucre,2018,11,85,1723,47.8,23,0
2499,Chase Whitley,2018,11,86.7,2112,55,20,0
2500,Robby Scott,2018,10,90.3,2173,18.2,55,0
2501,Matt Davidson,2018,10,89.6,2159,43.5,23,0
2502,Scott Copeland,2018,10,90.1,1959,45.5,22,0
2503,Trevor May,2018,10,93.9,2300,66.7,15,0
2504,James Hoyt,2018,10,92.9,2218,66.7,15,0
2505,Steven Matz,2018,10,93.6,2095,0.5,1889,1
2506,Miguel Almonte,2018,9,96.1,2291,40.9,22,0
2507,Jordan Hicks,2018,9,100.8,2109,1.1,831,0
2508,J.D. Davis,2018,8,90.8,2097,88.9,9,0
2509,Joey Lucchesi,2018,8,89.8,2268,0.6,1290,0
2510,Sal Romano,2018,8,93.9,2123,0.4,1834,0
2511,Matthew Festa,2018,7,92.9,2263,70,10,0
2512,Carson Smith,2018,7,91.4,2154,2.7,263,0
2513,Zac Rosscup,2018,6,92.6,2010,35.3,17,0
2514,Jeremy Bleich,2018,6,91.4,2265,46.2,13,0
2515,Sam Howard,2018,5,91.1,2112,45.5,11,0
2516,Rob Whalen,2018,5,90,2368,10.6,47,0
2517,Ryan LaMarre,2018,5,73,1833,100,5,0
2518,Ryan Rua,2018,4,89.9,2045,50,8,0
2519,Tanner Anderson,2018,3,93.9,2162,4.6,65,0
2520,Zack Britton,2018,3,93.4,2075,1.1,284,0
2521,Alex Cobb,2018,2,92.5,2228,0.1,1705,0
2522,Mark Reynolds,2018,2,75.7,2083,66.7,3,0
2523,Miguel Castro,2018,2,96.4,2283,0.2,1039,0
2524,Jeanmar Gomez,2018,1,91.6,1999,1.6,62,0
2525,Chris Rowley,2018,1,87,2209,6.7,15,0
2526,Alex Wood,2018,1,90.4,1851,0.1,1847,1
2527,Cory Spangenberg,2018,1,88.3,2151,2.5,40,0
2528,Brad Ziegler,2018,1,86,1934,0.1,731,0
2529,Ryan Sherriff,2018,1,90.5,2060,1,103,0
2530,T.J. McFarland,2018,1,90.1,2030,0.1,927,0
