,player_name,Season,Fastballs,velocity,spin_rate,pitch_percent,total_pitches,days_injured
2185,Shawn Kelley,2018,257,91.4,2297,52.7,488,0
2186,Pedro Araujo,2018,256,92.2,2355,48.6,527,0
2187,Victor Arano,2018,253,93.4,2285,40.5,624,0
2188,Tony Cingrani,2018,250,93.6,2266,62.3,401,0
2189,Neil Ramirez,2018,248,95.3,2454,55.7,445,0
2190,Alex Wilson,2018,245,92,2151,39.4,622,0
2191,Louis Coleman,2018,244,89.5,2291,47.6,513,0
2192,Chris Tillman,2018,244,88.9,2185,46.9,520,0
2193,Daniel Stumpf,2018,239,92.9,2365,51.6,463,0
2194,Eddie Butler,2018,238,91.8,2041,83.8,284,0
2195,Jerry Blevins,2018,238,88.4,2129,50.9,468,0
2196,Wade Miley,2018,238,89.6,2206,50.7,469,0
2197,Shelby Miller,2018,237,93.7,2300,76,312,0
2198,Heath Fillmyer,2018,236,92.3,2202,55.7,424,0
2199,Felix Hernandez,2018,235,89.4,2077,12.5,1876,0
2200,Hyun Jin Ryu,2018,234,89,2077,50.2,466,0
2201,Deck McGuire,2018,234,93.3,2375,50.9,460,0
2202,Pablo Lopez,2018,233,92.8,2042,49.7,469,1
2203,Jefry Rodriguez,2018,229,95.3,2316,64,358,0
2204,Will Smith,2018,228,92.3,2154,47,485,0
2205,Adam Warren,2018,228,91.6,2182,39,584,0
2206,Roenis Elias,2018,228,94.2,2365,56.7,402,0
2207,Hector Velazquez,2018,225,91.6,2093,24.9,904,0
2208,AJ Ramos,2018,225,90.2,2391,62.5,360,0
2209,Mark Melancon,2018,222,90.9,2449,68.9,322,0
2210,Dovydas Neverauskas,2018,221,94.8,2281,73.4,301,0
2211,Luis Garcia,2018,219,97,2085,49.4,443,0
2212,Chris Bassitt,2018,218,88.6,2232,39.8,548,0
2213,Matt Wisler,2018,218,92.5,2027,53.3,409,0
2214,Matt Belisle,2018,217,90.2,2054,47.8,454,0
2215,Tony Sipp,2018,217,91.5,2131,49.3,440,0
2216,Oliver Drake,2018,216,92.6,2149,44.4,486,0
2217,Hector Neris,2018,216,94.1,2472,42.5,508,0
2218,Trevor Cahill,2018,216,88.5,2200,19.7,1096,0
2219,Tony Barnette,2018,215,91.5,2553,53.1,405,0
2220,Kazuhisa Makita,2018,214,80.4,2022,47.2,453,0
2221,Greg Holland,2018,214,93,2238,42.7,501,0
2222,Edubray Ramos,2018,214,93.3,2457,37.3,573,9
2223,Dillon Peters,2018,213,90.8,2314,42.3,504,0
2224,Chris Rusin,2018,212,88.1,2360,31.8,667,0
2225,Jacob Rhame,2018,210,96,2528,68.9,305,0
2226,Luis Avilan,2018,209,90.7,2139,37.5,557,0
2227,Blaine Boyer,2018,208,92.6,2311,50.5,412,0
2228,Brian Duensing,2018,206,91.4,2063,34,606,1
2229,A.J. Cole,2018,203,93.1,2131,37.2,546,0
2230,Junichi Tazawa,2018,203,91.5,2260,53.3,381,0
2231,Daniel Gossett,2018,200,93.1,2365,50.9,393,0
2232,Adam Cimber,2018,200,86.9,2173,28.2,709,0
